ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,CNPJORGAO,RECEITAREALIZADA
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,87500.0,"COMERCIALIZACAO DE OUTROS PRODUTOS VEGETAIS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,87500.0,"COMERCIALIZAÇÃO DE OUTROS PRODUTOS VEGETAIS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,1833333.37,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",,0.0
201412,2014,Dez,"FUNDO FIN. PREV. MILITAR",Indireta,Executivo,83.37,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",18798607000124,
201412,2014,Dez,"FUNDO PREVIDENCIÁRIO",Indireta,Executivo,83.37,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",18867918000106,
201412,2014,Dez,"AGENCIA GOIANA DE ESPORTE E LAZER",Indireta,Executivo,101166.63,"CONCESSÃO DE EVENTOS ESPORTIVOS",5470294000139,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,4416.63,"CONCESSÕES E PERMISSÕES DO FUNDER",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,,"CONTRATOS DIVIDA PÚBLICA ESTADUAL INTERN",,0.0
201412,2014,Dez,"FUNDO PREVIDENCIÁRIO",Indireta,Executivo,80250.0,"CONTRIBUICAO DE SERVIDOR ATIVO CIVIL",18867918000106,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,1.22575E7,"CONTRIBUICAO DE SERVIDOR ATIVO MILITAR",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1.22575E7,"CONTRIBUICAO DE SERVIDOR ATIVO MILITAR",,0.0
201412,2014,Dez,"FUNDO FIN. PREV. SERVIDOR",Indireta,Executivo,,"CONTRIBUICAO DE SERVIDOR ATIVO MILITAR",18867930000102,0.0
201412,2014,Dez,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,,"CONTRIBUICAO DE SERVIDOR ATIVO MILITAR",11991625000189,0.0
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"CONTRIBUICAO PATRONAL - ATIVO CIVIL",,0.0
201412,2014,Dez,"FUNDO PREVIDENCIÁRIO",Indireta,Executivo,83.37,"CONTRIBUICAO PATRONAL - ATIVO CIVIL",18867918000106,0.0
201412,2014,Dez,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,833.37,"CONTRIBUICAO PATRONAL - ATIVO MILITAR",,0.0
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"CONTRIBUICAO PATRONAL - ATIVO MILITAR",,0.0
201412,2014,Dez,"FUNDO FIN. PREV. MILITAR",Indireta,Executivo,833.37,"CONTRIBUICAO PATRONAL - ATIVO MILITAR",18798607000124,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,1500000.0,"CONTRIBUICOES DE PENSIONISTA CIVIL",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,1500000.0,"CONTRIBUICOES DE PENSIONISTA CIVIL",,0.0
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"CONTRIBUICOES DE PENSIONISTA CIVIL",,0.0
201412,2014,Dez,"FUNDO PREVIDENCIÁRIO",Indireta,Executivo,6666.63,"CONTRIBUICOES DE PENSIONISTA CIVIL",18867918000106,
201412,2014,Dez,"FUNDO FIN. PREV. MILITAR",Indireta,Executivo,208333.37,"CONTRIBUICOES DE PENSIONISTA MILITAR",18798607000124,0.0
201412,2014,Dez,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,2833333.37,"CONTRIBUICOES DE SERVIDOR INATIVO CIVIL",,0.0
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"CONTRIBUICOES DE SERVIDOR INATIVO CIVIL",,0.0
201412,2014,Dez,"FUNDO FIN. PREV. SERVIDOR",Indireta,Executivo,2823333.37,"CONTRIBUICOES DE SERVIDOR INATIVO CIVIL",18867930000102,0.0
201412,2014,Dez,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,6.036458337E7,"CONTRIBUICOES PREVIDENCIARIAS DO REGIME PROPRIO",,0.0
201412,2014,Dez,"FUNDO FIN. PREV. MILITAR",Indireta,Executivo,1.396633337E7,"CONTRIBUICOES PREVIDENCIARIAS DO REGIME PROPRIO",18798607000124,0.0
201412,2014,Dez,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,,"CONTRIBUICOES PREVIDENCIARIAS DO REGIME PROPRIO",11991625000189,0.0
201412,2014,Dez,"FUNDO EST. DA CRIANCA E DO ADOLESCENTE",Direta,Executivo,8750.0,"CONTRIBUICOES SOCIAIS",37879913000130,
201412,2014,Dez,"INST.DE ASSIST.SERV.PUB. ESTADO DE GOIAS",Indireta,Executivo,8.222508337E7,"CONTRIBUICOES SOCIAIS",1246693000160,0.0
201412,2014,Dez,"PROTEGE GOIAS",Direta,Executivo,,"CONTRIBUIÇÃO DO FOMENTAR/PRODUZIR LEI Nº 18.360/2013",6084202000145,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,3.464058326E7,"CONTRIBUIÇÃO PATRONAL - ATIVO CIVIL",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,3.464058326E7,"CONTRIBUIÇÃO PATRONAL - ATIVO CIVIL",,0.0
201412,2014,Dez,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,,"CONTRIBUIÇÃO PATRONAL - ATIVO CIVIL",11991625000189,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1.416683326E7,"CONTRIBUIÇÃO PATRONAL - ATIVO MILITAR",,0.0
201412,2014,Dez,"FUNDO FIN. PREV. SERVIDOR",Indireta,Executivo,,"CONTRIBUIÇÃO PATRONAL - ATIVO MILITAR",18867930000102,0.0
201412,2014,Dez,"FUNDO PREVIDENCIÁRIO",Indireta,Executivo,166.63,"CONTRIBUIÇÃO PATRONAL - ATIVO MILITAR",18867918000106,
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,1.112E7,"CONTRIBUIÇÕES AO PROTEGE",,0.0
201412,2014,Dez,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,,"CONTRIBUIÇÕES PARA REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO",11991625000189,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,4.897408337E7,"CONTRIBUIÇÕES SOCIAIS",,0.0
201412,2014,Dez,"FUNDO FIN. PREV. SERVIDOR",Indireta,Executivo,3.480708337E7,"CONTRIBUIÇÕES SOCIAIS",18867930000102,0.0
201412,2014,Dez,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,,"CONTRIBUIÇÕES SOCIAIS",11991625000189,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,,"COTA PARTE DA CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMINIO ECONOMICO - CIDE",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"COTA PARTE DA CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMINIO ECONOMICO - CIDE",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,2129750.0,"COTA-PARTE DA COMPENSACAO FINANCEIRA DE RECURSOS MINERAIS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,2129750.0,"COTA-PARTE DA COMPENSACAO FINANCEIRA DE RECURSOS MINERAIS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,1.6547616663E8,"COTA-PARTE DO FUNDO DE PARTICIPACAO DOS ESTADOS E DO DISTRITO FEDERAL",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1.6547616663E8,"COTA-PARTE DO FUNDO DE PARTICIPACAO DOS ESTADOS E DO DISTRITO FEDERAL",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,5576583.37,"COTA-PARTE DO IMPOSTO S/ PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,5576583.37,"COTA-PARTE DO IMPOSTO S/ PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,83.37,"COTA-PARTE DO IMPOSTO S/OPERACOES DE CREDITO, CAMBIO E SEGURO OU RELATIVAS A TITULOS OU VALORES MOBILIARIOS - COMERCIALI",1409655000180,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,18000.0,"Credito Especial de Investimento- Portege Goias- Lei 15.454/2005",,0.0
201412,2014,Dez,"AG. GOIANA DE DEFESA AGROPECUARIA",Indireta,Executivo,-258416.63,"DEDUCAO DA RECEITA TRIBUTARIA",6064227000187,0.0
201412,2014,Dez,"PROTEGE GOIAS",Direta,Executivo,-7699916.63,"DEDUCAO DA RECEITA TRIBUTARIA",6084202000145,
201412,2014,Dez,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,-3.309525E7,"DEDUCAO DE RECEITA DO FPE PARA FORMAÇÃO DO FUNDEB",1409655000180,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-1115333.37,"DEDUCAO DE RECEITA IPI EXPORTAÇÃO PARA FORMAÇÃO DO FUNDEB",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-1115333.37,"DEDUCAO DE RECEITA IPI EXPORTAÇÃO PARA FORMAÇÃO DO FUNDEB",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-1115333.37,"DEDUCAO DE RECEITA IPI EXPORTAÇÃO PARA FORMAÇÃO DO FUNDEB",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,-7201416.63,"DEDUÇAO DA RECEITA DE IPVA P/ FORMAÇÃO DO FUNDEB",1409655000180,0.0
201412,2014,Dez,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-2832916.63,"DEDUÇAO DA RECEITA DE ITCD P/ FORMAÇÃO DO FUNDEB",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-2832916.63,"DEDUÇAO DA RECEITA DE ITCD P/ FORMAÇÃO DO FUNDEB",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇAO DE OUTRAS TAXAS PELO PODER DE POLICIA",,0.0
201412,2014,Dez,"FUNDO ESTADUAL DE SAUDE- FES",Direta,Executivo,,"DEDUÇAO DE OUTRAS TAXAS PELO PODER DE POLICIA",544963000156,0.0
201412,2014,Dez,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-2832916.63,"DEDUÇAO DE RECEITA DE ITCD",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO  DE REMUNERAÇÃO DE DEPÓSITO DE RECURSOS NÃO VINCULADOS",,0.0
201412,2014,Dez,EMATER,Indireta,Executivo,-22000.0,"DEDUÇÃO DA RECEITA AGROPECUÁRIA",13232306000115,
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-22000.0,"DEDUÇÃO DA RECEITA AGROPECUÁRIA",,
201412,2014,Dez,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-4.9946358337E8,"DEDUÇÃO DA RECEITA CORRENTE",,0.0
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,-2.640475E7,"DEDUÇÃO DA RECEITA CORRENTE",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-1500.0,"DEDUÇÃO DA RECEITA DA PRODUÇÃO ANIMAL E DERIVADOS",,
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-1500.0,"DEDUÇÃO DA RECEITA DA PRODUÇÃO ANIMAL E DERIVADOS",,
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-83.37,"DEDUÇÃO DA RECEITA DA PRODUÇÃO ANIMAL E DERIVADOS DE GRANDE PORTE",,
201412,2014,Dez,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,-333.37,"DEDUÇÃO DA RECEITA DA PRODUÇÃO ANIMAL E DERIVADOS DE MÉDIO PORTE",3521741000106,
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-333.37,"DEDUÇÃO DA RECEITA DA PRODUÇÃO ANIMAL E DERIVADOS DE MÉDIO PORTE",,
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-333.37,"DEDUÇÃO DA RECEITA DA PRODUÇÃO ANIMAL E DERIVADOS DE MÉDIO PORTE",,
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-333.37,"DEDUÇÃO DA RECEITA DA PRODUÇÃO ANIMAL E DERIVADOS DE PEQUENO PORTE",,
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,-333.37,"DEDUÇÃO DA RECEITA DA PRODUÇÃO ANIMAL E DERIVADOS DE PEQUENO PORTE",,
201412,2014,Dez,EMATER,Indireta,Executivo,-17500.0,"DEDUÇÃO DA RECEITA DA PRODUÇÃO VEGETAL",13232306000115,
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-17500.0,"DEDUÇÃO DA RECEITA DA PRODUÇÃO VEGETAL",,
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-833.37,"DEDUÇÃO DA RECEITA DE COMERCIALIZAÇÃO DE REFUGOS",,
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-833.37,"DEDUÇÃO DA RECEITA DE COMERCIALIZAÇÃO DE REFUGOS",,
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,-833.37,"DEDUÇÃO DA RECEITA DE COMERCIALIZAÇÃO DE REFUGOS",,
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-4.320866663E7,"DEDUÇÃO DA RECEITA DE IPVA",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-4.320866663E7,"DEDUÇÃO DA RECEITA DE IPVA",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,-4.320866663E7,"DEDUÇÃO DA RECEITA DE IPVA",1409655000180,0.0
201412,2014,Dez,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,-3750.0,"DEDUÇÃO DA RECEITA DE ROYALTIES DA COMERCIALIZAÇÃO DE CULTIVARES",3521741000106,
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-3750.0,"DEDUÇÃO DA RECEITA DE ROYALTIES DA COMERCIALIZAÇÃO DE CULTIVARES",,
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,-3750.0,"DEDUÇÃO DA RECEITA DE ROYALTIES DA COMERCIALIZAÇÃO DE CULTIVARES",,
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONSTITUCIONAIS AOS MUNICIPIOS - IPI",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONSTITUCIONAIS AOS MUNICIPIOS - IPI",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-2.6180383337E8,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONTITUCIONAIS AOS MUNICIPIOS - ICMS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-2.6180383337E8,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONTITUCIONAIS AOS MUNICIPIOS - ICMS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-2.6180383337E8,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONTITUCIONAIS AOS MUNICIPIOS - ICMS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-3.600725E7,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONTITUCIONAIS AOS MUNICIPIOS - IPVA",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-3.600725E7,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONTITUCIONAIS AOS MUNICIPIOS - IPVA",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-3.600725E7,"DEDUÇÃO DA RECEITA DE TRANSFERENCIAS CONTITUCIONAIS AOS MUNICIPIOS - IPVA",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DAS CONTRIBUIÇÕES PREVIDENCIARIAS DO REGIME PROPRIO",,0.0
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,,"DEDUÇÃO DAS CONTRIBUIÇÕES PREVIDENCIARIAS DO REGIME PROPRIO",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"DEDUÇÃO DAS RECEITAS DE ALUGUEIS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,,"DEDUÇÃO DAS RECEITAS DE CAPITAL",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,,"DEDUÇÃO DAS RECEITAS DE CONTRIBUIÇÕES",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-4.2485416674E8,"DEDUÇÃO DAS RECEITAS DE ICMS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-4.2485416674E8,"DEDUÇÃO DAS RECEITAS DE ICMS",,0.0
201412,2014,Dez,FUNPRODUZIR,Direta,Executivo,,"DEDUÇÃO DAS RECEITAS DE SERVIÇOS",4352350000178,0.0
201412,2014,Dez,"UNIVERSIDADE ESTADUAL DE GOIAS",Indireta,Executivo,,"DEDUÇÃO DAS RECEITAS DE SERVIÇOS",1112580000171,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-3.453591663E7,"DEDUÇÃO DAS TRANSFERENCIAS CORRENTES",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-3.453591663E7,"DEDUÇÃO DAS TRANSFERENCIAS CORRENTES",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,-3.453591663E7,"DEDUÇÃO DAS TRANSFERENCIAS CORRENTES",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,-3.453591663E7,"DEDUÇÃO DAS TRANSFERENCIAS DA UNIAO",1409655000180,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"DEDUÇÃO DAS TRANSFERENCIAS DE CONVENIO DA UNIÃO E DE SUAS ENTIDADES",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,-3.453591663E7,"DEDUÇÃO DAS TRANSFERENCIAS INTERGOVENAMENTAIS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,-3.453591663E7,"DEDUÇÃO DAS TRANSFERENCIAS INTERGOVENAMENTAIS",,0.0
